,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Place,Place Latitude,Place Longitude,Place Category
0,Dampoort,51.052589619954055,3.7501483785389556,Bijgaardepark,51.05095852559852,3.743387460708618,Park
1,Dampoort,51.052589619954055,3.7501483785389556,Volkshuis De Roos,51.049026941585616,3.747332410316525,Pub
2,Dampoort,51.052589619954055,3.7501483785389556,Baccaert/Luc,51.050169935988954,3.7493130286731366,Bakery
3,Dampoort,51.052589619954055,3.7501483785389556,Mevlana 42 Gent,51.052871526615654,3.7467333428980023,Kebab Restaurant
4,Dampoort,51.052589619954055,3.7501483785389556,Groot Begijnhof,51.0566651845036,3.746962628972999,Historic and Protected Site
5,Dampoort,51.052589619954055,3.7501483785389556,Qlt,51.05722,3.752123,Sports Club
6,Dampoort,51.052589619954055,3.7501483785389556,Heernisplein,51.05258930998175,3.748512937385784,Plaza
7,Dampoort,51.052589619954055,3.7501483785389556,Kaya Bakkerij,51.052380852594005,3.751382154717091,Bakery
8,Dampoort,51.052589619954055,3.7501483785389556,Clouds in my Coffee,51.05466972013083,3.743001605431084,Coffee Shop
9,Dampoort,51.052589619954055,3.7501483785389556,Dedeoglu,51.053945693076926,3.7434848586722227,Fast Food Restaurant
10,Dampoort,51.052589619954055,3.7501483785389556,Ghequiere Peter Vera,51.049555100271334,3.7445936073125066,Bakery
11,Dampoort,51.052589619954055,3.7501483785389556,Dansschool Dance-revolution,51.052789067679164,3.7524011537083495,Dance Studio
12,Dampoort,51.052589619954055,3.7501483785389556,Börek & Simit Huis,51.05364241753422,3.744151363206382,Bakery
13,Dampoort,51.052589619954055,3.7501483785389556,Café Botèco,51.04929413055749,3.744295810980146,Bar
14,Dampoort,51.052589619954055,3.7501483785389556,Theater Scala,51.053515529725644,3.7443994219007464,Concert Hall
15,Dampoort,51.052589619954055,3.7501483785389556,Pitta Sari,51.05278227601007,3.7474459012523487,Doner Restaurant
16,Dampoort,51.052589619954055,3.7501483785389556,Ma & Ik,51.04988063647205,3.7452800316917045,Bistro
17,Dampoort,51.052589619954055,3.7501483785389556,'t Muzikantje,51.051891450858186,3.7562755665419387,Bar
18,Dampoort,51.052589619954055,3.7501483785389556,Taverne Heilig Hart bij Kelly & Chico,51.0543067269673,3.7502103743841877,Comedy Club
19,Dampoort,51.052589619954055,3.7501483785389556,Pitta Yavuz,51.05222983829006,3.7483978271484375,Doner Restaurant
20,Dampoort,51.052589619954055,3.7501483785389556,Banierpark,51.0537101822986,3.7456727027893066,Park
21,Dampoort,51.052589619954055,3.7501483785389556,Speelterrein Wolterslaan,51.048742325552716,3.7457150291888053,Playground
22,Dampoort,51.052589619954055,3.7501483785389556,Napolio,51.052624695163814,3.7515161344159367,Snack Place
23,Dampoort,51.052589619954055,3.7501483785389556,Speelplein Wasstraat,51.05592470881844,3.7451791763305664,Playground
24,Dampoort,51.052589619954055,3.7501483785389556,Frituur Cathy,51.05257716698738,3.745678067207336,Friterie
25,Dampoort,51.052589619954055,3.7501483785389556,Gürcan Grill-Snack,51.05267559036181,3.746970891952514,Kebab Restaurant
26,Dampoort,51.052589619954055,3.7501483785389556,Heilig-Hartplein,51.05377554549645,3.7488842527604813,Plaza
27,Dampoort,51.052589619954055,3.7501483785389556,'t Rietveld Ashtanga,51.0520849509489,3.7564088763502705,Sports and Recreation
28,Dampoort,51.052589619954055,3.7501483785389556,Panos,51.053807666107396,3.743631960814628,Bakery
29,Dampoort,51.052589619954055,3.7501483785389556,De Kring - Heilig Hart,51.05432460836552,3.750247618349994,Concert Hall
30,Bloemekenswijk,51.070787226363926,3.707591075360457,Edmond van Beverenplein,51.07242789828404,3.7098383903503414,Plaza
31,Bloemekenswijk,51.070787226363926,3.707591075360457,Watertoren,51.0726232891461,3.71169162439351,Monument
32,Bloemekenswijk,51.070787226363926,3.707591075360457,Frituur Nancy,51.072693,3.710388,Friterie
33,Bloemekenswijk,51.070787226363926,3.707591075360457,Museum Dr. Guislain,51.06713264885294,3.7044287752395713,Science Museum
34,Bloemekenswijk,51.070787226363926,3.707591075360457,Relaxing Da Vinci,51.07630068990233,3.708846458671723,Bathing Area
35,Bloemekenswijk,51.070787226363926,3.707591075360457,Snack Yasmin,51.07119886714952,3.7094842673497763,Doner Restaurant
36,Bloemekenswijk,51.070787226363926,3.707591075360457,Orhan Usta,51.07280693941694,3.709798111706557,Kebab Restaurant
37,Bloemekenswijk,51.070787226363926,3.707591075360457,Bloemekenspark,51.06778963084779,3.7100958824157715,Park
38,Bloemekenswijk,51.070787226363926,3.707591075360457,Café 't Pleintje,51.072583841327045,3.709361401688831,Bar
39,Bloemekenswijk,51.070787226363926,3.707591075360457,Bakkerij Van Hecke Luc Bvba,51.07229574333948,3.7086487109064112,Bakery
40,Bloemekenswijk,51.070787226363926,3.707591075360457,Bakkerij Sila,51.07233192052603,3.710265347484889,Bakery
41,Bloemekenswijk,51.070787226363926,3.707591075360457,Bakkerij De Gentenare,51.07029758898433,3.7042513489723206,Bakery
42,Bloemekenswijk,51.070787226363926,3.707591075360457,Museumcafé Het Badhuis,51.06757333846979,3.7042442666571245,Bar
43,Bloemekenswijk,51.070787226363926,3.707591075360457,Ottoman Grillhouse,51.071738,3.709891,Turkish Restaurant
44,Bloemekenswijk,51.070787226363926,3.707591075360457,Pizza Time,51.072476,3.707486,Pizzeria
45,Bloemekenswijk,51.070787226363926,3.707591075360457,Turkse Bakkerij Hilal,51.0717208717781,3.7098570044527963,Bakery
46,Bloemekenswijk,51.070787226363926,3.707591075360457,Rikkerd,51.06987723082339,3.7032436517752427,Yoga Studio
47,Bloemekenswijk,51.070787226363926,3.707591075360457,Het Sivipleintje,51.06865528755084,3.708975052785235,Plaza
48,Bloemekenswijk,51.070787226363926,3.707591075360457,Firehousestation gym,51.06856255733541,3.7097775591013145,Gym and Studio
49,Bloemekenswijk,51.070787226363926,3.707591075360457,Arif Usta,51.072483,3.7092104,Doner Restaurant
50,Bloemekenswijk,51.070787226363926,3.707591075360457,Bakkerij Willems,51.06603667619565,3.708829879760742,Bakery
51,Bloemekenswijk,51.070787226363926,3.707591075360457,Losloopweide,51.069324,3.7111804,Dog Park
52,Bloemekenswijk,51.070787226363926,3.707591075360457,Fitnesszaal,51.06854068812053,3.710363900554504,Sports and Recreation
53,Bloemekenswijk,51.070787226363926,3.707591075360457,Leieschutters,51.068323,3.70967,Tennis Court
54,Bloemekenswijk,51.070787226363926,3.707591075360457,Dansgroep E.K,51.07269,3.709222,Dance Studio
55,Bloemekenswijk,51.070787226363926,3.707591075360457,Binnentuin Guislain,51.06655826524889,3.7047644148365757,Garden
56,Bloemekenswijk,51.070787226363926,3.707591075360457,Cafetaria Vormingscentrum Guislain,51.066631005791905,3.704763018738037,Cafeteria
57,Bloemekenswijk,51.070787226363926,3.707591075360457,Frituur L’Or,51.07217509771987,3.710160255432129,Friterie
58,Bloemekenswijk,51.070787226363926,3.707591075360457,La Carioca,51.06816050336208,3.707883935392475,Bar
59,Bloemekenswijk,51.070787226363926,3.707591075360457,Black And White Shisha,51.07178283537465,3.710432917466424,Hookah Bar
60,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Het Rabot,51.06034391760791,3.7131298182731234,Monument
61,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Prinsenhofplein,51.058948,3.716343,Plaza
62,Rabot  - Blaisantvest,51.06317025937241,3.7124772608240613,Tondelier - De Site,51.06459064140017,3.7131381751697647,Playground
